MONDO:0007322 {'OMIM:118651'}
MONDO:0007323 {'OMIM:118670'}
MONDO:0007325 {'OMIM:118750'}
MONDO:0007327 {'OMIM:118830'}
MONDO:0007328 {'OMIM:118865'}
MONDO:0007329 {'OMIM:215600'}
MONDO:0007330 {'OMIM:118980'}
MONDO:0007331 {'OMIM:119000'}
MONDO:0007332 {'OMIM:119100'}
MONDO:0007333 {'OMIM:119300'}
MONDO:0007334 {'OMIM:119500'}
MONDO:0007335 {'OMIM:119530'}
MONDO:0007336 {'OMIM:119540'}
MONDO:0007337 {'OMIM:119550'}
MONDO:0007338 {'OMIM:119570'}
MONDO:0007339 {'OMIM:119580'}
MONDO:0007340 {'OMIM:119600'}
MONDO:0007341 {'OMIM:119650'}
MONDO:0007342 {'OMIM:119800'}
MONDO:0007343 {'OMIM:119900'}
MONDO:0007344 {'OMIM:119915'}
MONDO:0007345 {'OMIM:120000'}
MONDO:0007346 {'OMIM:120040'}
MONDO:0007347 {'OMIM:120050'}
MONDO:0007348 {'OMIM:120080'}
MONDO:0007349 {'OMIM:120100'}
MONDO:0007350 {'OMIM:120200'}
MONDO:0007351 {'OMIM:120300'}
MONDO:0007352 {'OMIM:120330'}
MONDO:0007353 {'OMIM:120400'}
MONDO:0007354 {'OMIM:120430'}
MONDO:0007355 {'OMIM:120433'}
MONDO:0007356 {'OMIM:120435'}
MONDO:0007357 {'OMIM:120440'}
MONDO:0007358 {'OMIM:120450'}
MONDO:0007359 {'OMIM:120500'}
MONDO:0007360 {'OMIM:120502'}
MONDO:0007361 {'OMIM:120790'}
MONDO:0007362 {'OMIM:120970'}
MONDO:0007363 {'OMIM:121050'}
MONDO:0007364 {'OMIM:121070'}
MONDO:0007365 {'OMIM:121200'}
MONDO:0007366 {'OMIM:121201'}
MONDO:0007367 {'OMIM:121210'}
MONDO:0007368 {'OMIM:121270'}
MONDO:0007369 {'OMIM:121300'}
MONDO:0007370 {'OMIM:121350'}
MONDO:0007371 {'OMIM:121390'}
MONDO:0007372 {'OMIM:121400'}
MONDO:0007373 {'OMIM:121450'}
MONDO:0007374 {'OMIM:121800'}
MONDO:0007375 {'OMIM:121820'}
MONDO:0007376 {'OMIM:121850'}
MONDO:0007377 {'OMIM:121900'}
MONDO:0007378 {'OMIM:122000'}
MONDO:0007379 {'OMIM:122100'}
MONDO:0007380 {'OMIM:122200'}
MONDO:0007381 {'OMIM:122400'}
MONDO:0007382 {'OMIM:122430'}
MONDO:0007383 {'OMIM:122440'}
MONDO:0007384 {'OMIM:122450'}
MONDO:0007385 {'OMIM:122455'}
MONDO:0007386 {'OMIM:122460'}
MONDO:0007387 {'OMIM:122470'}
MONDO:0007388 {'OMIM:122580'}
MONDO:0007389 {'OMIM:122600'}
MONDO:0007390 {'OMIM:122700'}
MONDO:0007391 {'OMIM:122750'}
MONDO:0007392 {'OMIM:122780'}
MONDO:0007393 {'OMIM:122850'}
MONDO:0007395 {'OMIM:122880'}
MONDO:0007396 {'OMIM:122900'}
MONDO:0007397 {'OMIM:123000'}
MONDO:0007398 {'OMIM:123050'}
MONDO:0007399 {'OMIM:123100'}
MONDO:0007400 {'OMIM:123150'}
MONDO:0007401 {'OMIM:123155'}
MONDO:0007402 {'OMIM:123320'}
MONDO:0007403 {'OMIM:123400'}
MONDO:0007404 {'OMIM:123450'}
MONDO:0007405 {'OMIM:123500'}
MONDO:0007406 {'OMIM:123540'}
MONDO:0007407 {'OMIM:123550'}
MONDO:0007408 {'OMIM:123557'}
MONDO:0007409 {'OMIM:123560'}
MONDO:0007410 {'OMIM:123570'}
MONDO:0007411 {'OMIM:123700'}
MONDO:0007412 {'OMIM:123790'}
MONDO:0007413 {'OMIM:123853'}
MONDO:0007414 {'OMIM:123880'}
MONDO:0007415 {'OMIM:124000'}
MONDO:0007416 {'OMIM:124100'}
MONDO:0007417 {'OMIM:124200'}
MONDO:0007418 {'OMIM:124400', 'OMIM:124300'}
MONDO:0007420 {'OMIM:124480'}
MONDO:0007421 {'OMIM:124490'}
MONDO:0007422 {'OMIM:124500'}
MONDO:0007423 {'OMIM:124700'}
MONDO:0007424 {'OMIM:124900'}
MONDO:0007425 {'OMIM:124950'}
MONDO:0007426 {'OMIM:125000'}
MONDO:0007427 {'OMIM:125050'}
MONDO:0007428 {'OMIM:125230'}
MONDO:0007429 {'OMIM:125250'}
MONDO:0007430 {'OMIM:125280'}
MONDO:0007431 {'OMIM:125300'}
MONDO:0007432 {'OMIM:125310'}
MONDO:0007433 {'OMIM:125320'}
MONDO:0007434 {'OMIM:125350'}
MONDO:0007435 {'OMIM:125370'}
MONDO:0007436 {'OMIM:125400'}
MONDO:0007437 {'OMIM:125420'}
MONDO:0007438 {'OMIM:125440'}
MONDO:0007439 {'OMIM:125460'}
MONDO:0007440 {'OMIM:125480'}
MONDO:0007441 {'OMIM:125490'}
MONDO:0007442 {'OMIM:125500'}
MONDO:0007443 {'OMIM:125520'}
MONDO:0007444 {'OMIM:125540'}
MONDO:0007445 {'OMIM:125595'}
MONDO:0007446 {'OMIM:125600'}
MONDO:0007447 {'OMIM:125630', 'OMIM:193050'}
MONDO:0007448 {'OMIM:125635'}
MONDO:0007449 {'OMIM:125640'}
MONDO:0007450 {'OMIM:125700'}
MONDO:0007451 {'OMIM:125800'}
MONDO:0007452 {'OMIM:125850'}
MONDO:0007453 {'OMIM:125851'}
MONDO:0007454 {'OMIM:125852'}
MONDO:0007456 {'OMIM:125890'}
MONDO:0007457 {'OMIM:125900'}
MONDO:0007458 {'OMIM:126050'}
MONDO:0007459 {'OMIM:126070'}
MONDO:0007460 {'OMIM:126180'}
MONDO:0007461 {'OMIM:126190'}
MONDO:0007463 {'OMIM:126250'}
MONDO:0007465 {'OMIM:126320'}
MONDO:0007466 {'OMIM:126370'}
MONDO:0007467 {'OMIM:126390'}
MONDO:0007468 {'OMIM:126410'}
MONDO:0007469 {'OMIM:126500'}
MONDO:0007470 {'OMIM:126550'}
MONDO:0007471 {'OMIM:126600'}
MONDO:0007472 {'OMIM:126700'}
MONDO:0007474 {'OMIM:126840'}
MONDO:0007475 {'OMIM:126850'}
MONDO:0007476 {'OMIM:126900'}
MONDO:0007478 {'OMIM:127000'}
MONDO:0007479 {'OMIM:127100'}
MONDO:0007480 {'OMIM:127200'}
MONDO:0007481 {'OMIM:127300'}
MONDO:0007482 {'OMIM:127350'}
MONDO:0007483 {'OMIM:127400'}
MONDO:0007485 {'OMIM:127550'}
MONDO:0007486 {'OMIM:127600'}
MONDO:0007487 {'OMIM:127700'}
MONDO:0007488 {'OMIM:127750'}
MONDO:0007489 {'OMIM:127800'}
MONDO:0007490 {'OMIM:127820'}
MONDO:0007491 {'OMIM:128000'}
